im looking for a moderately priced restaurant that serves;0;inform
do you have the address;3;request 
phone number;3;request 
its a type of food;3;request 
thank you good bye;4;thankyou 
english food center part of town;0;inform 
yes;2;affirm 
british food;0;inform 
dont care;0;inform 
what is the address and phone number;3;request 
thank you good bye;4;thankyou 
thai food;0;inform 
any;0;inform 
thai;0;inform 
address;3;request 
thank you goodbye;4;thankyou 
uh expensive restaurant in the south;0;inform 
yes;2;affirm 
i dont care;0;inform 
dont care;0;inform 
expensive;0;inform 
what is the address and phone number;3;request 
address;3;request 
thank you good bye;4;thankyou 
im looking for corsica food;0;inform 
im looking for gastropub food;0;inform 
i am looking for gastropub food;0;inform 
no im looking for gastropub food;8;negate 
i am looking for gastropub food;0;inform 
gastropub food;0;inform 
care;5;null 
dont care;0;inform 
dont care;0;inform 
what is the address and phone number;3;request 
what is the post code;3;request 
thank you good bye;4;thankyou 
european restaurant;0;inform 
any part;0;inform 
any;0;inform 
yes;2;affirm 
any more;7;reqalts 
address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
cough;5;null 
christmas food;0;inform 
cough;5;null 
indian food;0;inform 
cough;5;null 
cheap;0;inform 
cheap;0;inform 
cough;5;null 
cheap price range;0;inform 
address;3;request 
thank you goodbye;4;thankyou 
moderate price in south;0;inform 
south;0;inform 
the south;0;inform 
south;0;inform 
any;0;inform 
anything else;7;reqalts 
south;0;inform 
west;0;inform 
west;0;inform 
dont care;0;inform 
east;0;inform 
south;0;inform 
in the south;0;inform 
anything else;7;reqalts 
address;3;request 
phone number;3;request 
thank you goodbye;4;thankyou 
expensive restaurant;0;inform 
any;0;inform 
european food;0;inform 
address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant that serves turkish food;0;inform 
can i get the address;3;request 
thank you good bye;4;thankyou 
mexican food;0;inform 
whats the address;3;request 
whats the phone number;3;request 
thank you good bye;4;thankyou 
i want to find a restaurant in the south part of town;0;inform 
polynesian food;0;inform 
how about portuguese;7;reqalts 
how about portuguese food;7;reqalts 
may i have the phone number and address;3;request 
thank you good bye;4;thankyou 
unintelligible;5;null 
unintelligible;5;null 
unintelligible;5;null 
im looking for venison food cross talk;0;inform 
cross talk how about gastro pub;7;reqalts 
yes;2;affirm 
how about gastro pub;7;reqalts 
how about gastro pub type of food;0;inform 
whats the address;3;request 
and the phone number;3;request 
and the post code;3;request 
what type of food is this;3;request 
thank you good bye;4;thankyou 
im looking for a japanese restaurant in the east part;0;inform 
im looking for an indian restaurant in the;0;inform 
yes;2;affirm 
i dont care;0;inform 
what is the address and phone number;3;request 
thank you good bye;4;thankyou 
iam looking for a restaurant in the center;0;inform 
serve kosher food;0;inform 
yes;2;affirm 
how about italian food;7;reqalts 
im looking for a restaurant serving;0;inform 
okay how about italian food;7;reqalts 
yes;2;affirm 
yes;2;affirm 
any price range;0;inform 
what is the phone number;3;request 
thank you good bye;4;thankyou 
venetian food;0;inform 
asian oriental food;0;inform 
asian oriental;0;inform 
any area;0;inform 
food;0;inform 
cough;5;null 
may i;5;null 
may i have the phone number and address;3;request 
thank you good bye;4;thankyou 
i want to find moderately priced restaurant it should be;0;inform 
east part of town;0;inform 
i dont care;0;inform 
can i get the phone number;3;request 
thank you goodbye;4;thankyou 
noise;5;null 
the west part of town id like a cheap restaurant;0;inform 
any kind of food;0;inform 
are there any other cheap restaurants in the west part of town;7;reqalts 
is there another restaurant in the west of town;7;reqalts 
can i get their address;3;request 
and what kind of food do they have;3;request 
thank you good bye;4;thankyou 
unintelligible;5;null 
unintelligible;5;null 
tv_noise im looking for an expensive restaurant and it should serve tuscan food;0;inform 
tv_noise any;0;inform 
tv_noise any;0;inform 
i dont care;0;inform 
can i get tuscan foo;0;inform 
sil;5;null 
i dont care tv_noise;0;inform 
tv_noise im looking for tuscan food;0;inform 
tuscan food;0;inform 
tv_noise no;8;negate 
i dont care;0;inform 
no dont care;8;negate 
dont care;0;inform 
tuscan food;0;inform 
noise how bout thai;0;inform 
tv_noise;5;null 
that food tv_noise;0;inform 
tv_noise;5;null 
can i get the address tv_noise;3;request 
tv_noise;5;null 
phone number tv_noise;3;request 
tv_noise;5;null 
tv_noise;5;null 
phone number tv_noise;3;request 
tv_noise;5;null 
tv_noise thank you goodbye;4;thankyou 
i want a restaurant in the unintelligible that serves belgium food;0;inform 
how about korean food;7;reqalts 
korean;0;inform 
is it in the center;1;confirm 
what is the address;3;request 
what is the phone number;3;request 
noise;5;null 
good bye;6;bye 
im looking for a cheap restaurant in the west part of;0;inform 
doesnt matter;0;inform 
phone number;3;request 
thank you good bye;4;thankyou 
restaurant;0;inform 
center;0;inform 
spanish food;0;inform 
cheap;0;inform 
anything else;7;reqalts 
address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
im moderate priced restaurant in the north part of town;0;inform 
any;0;inform 
anything else;7;reqalts 
address and phone number;3;request 
good bye;6;bye 
portuguese food;0;inform 
portuguese food;0;inform 
yes;2;affirm 
is there anything else;7;reqalts 
anything else;7;reqalts 
phone number;3;request 
area;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
i want an expensive restaurant in the east part of town;0;inform 
it doesnt matter;0;inform 
um what;5;null 
and what type of whats the phone number;3;request 
and what type of food does it serve;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the north;0;inform 
any kind of food;0;inform 
may i have the address please;3;request 
thank you good bye;4;thankyou 
breath id like to find a moderately priced restaurant in the west part of;0;inform 
i dont care;0;inform 
what is the address;3;request 
what type of food;3;request 
thank you goodbye;4;thankyou 
im looking for a moderately priced restaurant in the south;0;inform 
i dont care;0;inform 
what is the phone number;3;request 
what is the type of food;3;request 
thank you good bye;4;thankyou 
im looking for an moderately restaurant and it should be in the south part of town;0;inform 
any;0;inform 
whats the address;3;request 
thank you good bye;4;thankyou 
danish food in the south part of town;0;inform 
may i have a phone number and postcode;3;request 
may i have the postcode;3;request 
thank you goodbye;4;thankyou 
im looking for a restaurant that serves european food;0;inform 
i dont care;0;inform 
i dont care;0;inform 
is there anything else;7;reqalts 
whats the address phone number and area;3;request 
and what area;3;request 
thank you good bye;4;thankyou 
sil;5;null 
sil;5;null 
sil;5;null 
cheap restaurant north part of town;0;inform 
cheap;0;inform 
sil;5;null 
sil;5;null 
sil;5;null 
thank you;4;thankyou 
thank you;4;thankyou 
bye;6;bye 
thank you bye thank you bye;4;thankyou 
um want to find a moderately priced restaurant in the;0;inform 
any type is fine;0;inform 
what is the phone number and address;3;request 
what is the address;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant that serves world food;0;inform 
how about thai food;7;reqalts 
i dont care about the price range what about thai food;0;inform 
thai food;0;inform 
i dont care;0;inform 
what is the address;3;request 
what is the phone number;3;request 
thank you good bye;4;thankyou 
is there anything serving international food;7;reqalts 
the south part;0;inform 
how about in the center;7;reqalts 
where is it located;3;request 
what part of town is it located;3;request 
whats its price range;3;request 
could i have its phone number;3;request 
thank you very much good bye;4;thankyou 
im looking for an expensive restaurant in the south part of town;0;inform 
i dont care;0;inform 
is there anything else;7;reqalts 
can i have the phone number;3;request 
address;3;request 
post code;3;request 
thank you good bye;4;thankyou 
im looking for vegetarian food on the east part of town;0;inform 
what about indian food;7;reqalts 
what about indian food;7;reqalts 
im looking for indian food;0;inform 
it doesnt matter;0;inform 
right;2;affirm 
whats the address;3;request 
and the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the south part of town;0;inform 
moderately priced;0;inform 
doesnt matter;0;inform 
yes;2;affirm 
is there anything else;7;reqalts 
address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the center;0;inform 
creative food;0;inform 
what about international type food;0;inform 
um how about a restaurant in the center with int;7;reqalts 
international food;0;inform 
anything else;7;reqalts 
the phone number;3;request 
the phone number for bloomsbury;3;request 
and the price range;3;request 
thank you good bye;4;thankyou 
looking for a restaurant in west part of town serving cantonese;0;inform 
yes;2;affirm 
italian food;0;inform 
moderate;0;inform 
phone number;3;request 
what is the phone number;3;request 
thank you good bye;4;thankyou 
i want a polynesian restaurant in the north part of town;0;inform 
yes;2;affirm 
how about indian food;7;reqalts 
can i have their address please;3;request 
and the phone number;3;request 
whats the price range;3;request 
thank you good bye;4;thankyou 
can i have an;5;null 
restaurant serving english food;0;inform 
uh what about modern european;0;inform 
what about modern european food;0;inform 
okay what about modern european food;7;reqalts 
right;2;affirm 
can i have the phone number;3;request 
thank you good bye;4;thankyou 
hi im looking for a restaurant in the;9;hello 
north;0;inform 
christmas food;0;inform 
how about asian oriental type of food;7;reqalts 
is there a restaurant;7;reqalts 
im looking for a restaurant;0;inform 
in the north part of town;0;inform 
asian oriental;0;inform 
what is the address;3;request 
what is the phone number;3;request 
thank you good bye;4;thankyou 
im looking for an expensive restaurant that serves european;0;inform 
any part of town;0;inform 
phone number;3;request 
what is the phone number;3;request 
and the area;3;request 
thank you good bye;4;thankyou 
uh yes i want to find a restaurant in the north part of town that serves;2;affirm 
uh the north;0;inform 
mediterranean food;0;inform 
okay how about any area;7;reqalts 
okay how about any part of town;7;reqalts 
okay and uh can i get the address;3;request 
okay and whats the post code;3;request 
okay and uh the phone number;3;request 
okay thank you and good bye;6;bye 
im looking for a cheap restaurant in the south part of town;0;inform 
any kind;0;inform 
the address;3;request 
and the post code;3;request 
thank you good bye;4;thankyou 
im looking for an expensive restaurant in the south part of town;0;inform 
it doesnt matter;0;inform 
whats the address;3;request 
whats the phone number;3;request 
thank you good bye;4;thankyou 
looking for something moderately priced on the north side of town;0;inform 
yes;2;affirm 
i dont care;0;inform 
uh whats the address;3;request 
what about the phone number;3;request 
thank you good bye;4;thankyou 
yes hi im looking for a restaurant in the north;2;affirm 
cantonese food;0;inform 
how about asian oriental food;7;reqalts 
i want the address and ph;3;request 
and the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the south part of town that;0;inform 
mexican food;0;inform 
whats the address;3;request 
the phone number;3;request 
and the post code;3;request 
thank you good bye;4;thankyou 
i want chinese food;0;inform 
yes in the south of town;2;affirm 
cheap;0;inform 
what is the phone number;3;request 
unintelligible;5;null 
thank you good bye;4;thankyou 
cheap restaurant;0;inform 
i dont care;0;inform 
and asian;0;inform 
pan asian;0;inform 
may i have the address;3;request 
thank you good bye;4;thankyou 
food;0;inform 
any type;0;inform 
any part;0;inform 
yes;2;affirm 
french;0;inform 
yes;2;affirm 
address;3;request 
price range;3;request 
so i dont care whats the address;0;inform 
what area of town is it;3;request 
alright thank you good bye;6;bye 
noise;5;null 
south part of town;0;inform 
yes;2;affirm 
any expensive;0;inform 
yes expensive;2;affirm 
address phone number post code;3;request 
phone number;3;request 
post code;3;request 
thank you good bye;4;thankyou 
id like a restaurant in the north part of town that serves tur;0;inform 
turkish;0;inform 
how about in any area;7;reqalts 
how about rest of town;7;reqalts 
could i have the area please;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant in the south part of town;0;inform 
i dont care;0;inform 
what type of food;3;request 
whats the address;3;request 
thank you good bye;4;thankyou 
south;0;inform 
south;0;inform 
south;0;inform 
yes;2;affirm 
basque food;0;inform 
indian food;0;inform 
phone number;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
restaurant in the north part of town that serves;0;inform 
british food;0;inform 
how about indian food;7;reqalts 
yes;2;affirm 
um hm;5;null 
north;0;inform 
dont care;0;inform 
address phone number and price range;3;request 
address;3;request 
phone number;3;request 
price range;3;request 
thank you good bye;4;thankyou 
south;0;inform 
south;0;inform 
yes;2;affirm 
traditional;0;inform 
italian;0;inform 
italian;0;inform 
yes;2;affirm 
dont care;0;inform 
dont care;0;inform 
phone number;3;request 
phone number;3;request 
post code;3;request 
thank you goodbye;4;thankyou 
im looking for a moderately priced rest;0;inform 
any part of town;0;inform 
brazilian;0;inform 
what about gastropub type of foo;7;reqalts 
what about gasper gastropub type o;7;reqalts 
kay can i have the address phone number and the area;3;request 
was that in the east part of town west part of town;0;inform 
thank you goodbye;4;thankyou 
im looking for international food;0;inform 
it doesnt matter;0;inform 
i dont care about the price range;0;inform 
what is the address;3;request 
thank you good bye;4;thankyou 
moderately priced in the west part of town;0;inform 
any;0;inform 
what type of food;3;request 
what is the address;3;request 
thank you good bye;4;thankyou 
looking for a cheap restaurant serving portuguese food;0;inform 
i dont care;0;inform 
whats the phone number;3;request 
what area is it in;3;request 
thank you good bye;4;thankyou 
north part of town serving canapes food;0;inform 
yes;2;affirm 
indian food;0;inform 
i dont care;0;inform 
what is the address;3;request 
what is the phone number;3;request 
what is the price range;3;request 
thank you good bye;4;thankyou 
sil;5;null 
im looking for an expensive restaurant that serves basque food;0;inform 
yes;2;affirm 
how about korean food;7;reqalts 
korean food;0;inform 
what is the address;3;request 
and the area;3;request 
thank you good bye;4;thankyou 
i want a restaurant in the north part of town that serves kosher;0;inform 
does it serve kosher food;1;confirm 
what is the address;3;request 
what is the phone number;3;request 
what is the price range;3;request 
thank you good bye;4;thankyou 
restaurant in the west part of town serving moroccan food;0;inform 
moroccan;0;inform 
what type of food;3;request 
how about moroccan food;7;reqalts 
how about moroccan food;7;reqalts 
how about moroccan food;7;reqalts 
moroccan food;0;inform 
how about indian food;7;reqalts 
how about indian food;7;reqalts 
what is the address and phone number;3;request 
thank you good bye;4;thankyou 
okay let me try this again;10;repeat 
im looking for a restaurant that serves romanian food;0;inform 
okay how about;5;null 
place that serves portuguese food;0;inform 
how about a place that serves portuguese food;7;reqalts 
yes;2;affirm 
whats the address to that please;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the south;0;inform 
uh the south;0;inform 
greek food;0;inform 
how about chinese food;7;reqalts 
what about chinese;7;reqalts 
yes;2;affirm 
yes;2;affirm 
is doesnt matter;0;inform 
can i have the address;3;request 
thank you good bye;4;thankyou 
can i have a cheap restaurant in the south part of town;0;inform 
any kind of food;0;inform 
what is the address;3;request 
thank you good bye;4;thankyou 
yea im looking for a restaurant that serves basque food;0;inform 
what about indian;7;reqalts 
how about indian food;7;reqalts 
correct;2;affirm 
the west;0;inform 
okay whats the phone number;3;request 
whats the address;3;request 
thank you good bye;4;thankyou 
can i get a restaurant in the east part of town that serves italian food;0;inform 
can i get the address;3;request 
can i get the phone number;3;request 
and the post code;3;request 
thank you good bye;4;thankyou 
moderate restaurant seafood;0;inform 
yes;2;affirm 
noise;5;null 
child;5;null 
chinese food;0;inform 
yes;2;affirm 
phone number;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
sil;5;null 
east;0;inform 
the east;0;inform 
moderately priced;0;inform 
is there anything else;7;reqalts 
what type of food;3;request 
phone number;3;request 
phone number;3;request 
what is the phone number;3;request 
thank you good bye;4;thankyou 
uh im looking for a cheap restaurant in the south part of town;0;inform 
any type of food;0;inform 
are there any other restaurants;7;reqalts 
can i get the address and phone number please;3;request 
thank you good bye;4;thankyou 
im looking for restaurants in the east part of town;0;inform 
east;0;inform 
west;0;inform 
noise;5;null 
how about chinese;7;reqalts 
chinese;0;inform 
thank you can i have the address phone number;3;request 
and the postal code;3;request 
what about the address;3;request 
can you give me the phone number;3;request 
thank you good bye;4;thankyou 
i want to find an expensive restaurant that serves hungarian food;0;inform 
i dont care;0;inform 
hungarian;0;inform 
no;8;negate 
im looking for;0;inform 
im looking for;0;inform 
does it serve hungarian food;1;confirm 
im looking for an expensive restaurant that serves hungarian;0;inform 
does it serve hungarian food;1;confirm 
how about british food;7;reqalts 
i want to find an expensive restaurant that;0;inform 
british food;0;inform 
what is the pri what is the telephone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the center;0;inform 
mediterranean food;0;inform 
could i have the address and phone number;3;request 
could i have the phone number;3;request 
thank you good bye;4;thankyou 
moderate restaurant in the south part of town;0;inform 
any;0;inform 
yes;2;affirm 
uh price range;3;request 
i need a moderately priced restaurant;0;inform 
okay phone number;3;request 
can i get the address;3;request 
unintelligible;5;null 
can i get a moderate restaurant in the south part of town;0;inform 
i dont care;0;inform 
can i get the phone number;3;request 
thank you goodbye;4;thankyou 
can i get;5;null 
i dont care;0;inform 
vegetarian;0;inform 
how about european;7;reqalts 
i dont care;0;inform 
can i get the address;3;request 
and the phone number;3;request 
thank you good bye;4;thankyou 
cheap;0;inform 
indian;0;inform 
address;3;request 
address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
expensive restaurant;0;inform 
anywhere;0;inform 
yes;2;affirm 
corsica;0;inform 
asian oriental;0;inform 
asian oriental;0;inform 
yes;2;affirm 
phone number;3;request 
what is the phone number;3;request 
what is the area;3;request 
thank you goodbye;4;thankyou 
im looking for a cheap restaurant serving kosher food;0;inform 
what about chinese food;7;reqalts 
how about chinese food;7;reqalts 
what is the address and phone number;3;request 
thank you goodbye;4;thankyou 
i want to find a moderately priced restaurant and it should serve;0;inform 
any;0;inform 
turkish food;0;inform 
whats the address;3;request 
and the post code;3;request 
thank you good bye;4;thankyou 
id like a austrian restaurant in the south part of town;0;inform 
how about indian food;7;reqalts 
how about indian food;7;reqalts 
what is the phone number;3;request 
thank you good bye;4;thankyou 
moderately priced;0;inform 
south;0;inform 
yes;2;affirm 
any kind;0;inform 
phone number;3;request 
address;3;request 
good bye;6;bye 
can i find a restaurant in the south that is moderately priced;0;inform 
any food;0;inform 
can i have the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a cheap restaurant in the west part of town;0;inform 
mediterranean;0;inform 
american;0;inform 
italian;0;inform 
address;3;request 
address;3;request 
thank you good bye;4;thankyou 
indonesian food;0;inform 
itailian;0;inform 
italian;0;inform 
north;0;inform 
no;8;negate 
thank you;4;thankyou 
thank you;4;thankyou 
i dont care;0;inform 
yes;2;affirm 
no;8;negate 
dont care;0;inform 
italian food;0;inform 
dont care;0;inform 
thank you;4;thankyou 
i dont care;0;inform 
worthless system;5;null 
yes;2;affirm 
no;8;negate 
i do not care;0;inform 
dont care;0;inform 
thank you good bye;4;thankyou 
moderately priced restaurant halal food;0;inform 
doesnt matter;0;inform 
yes;2;affirm 
halal;0;inform 
again please;10;repeat 
may i have the address and post code;3;request 
again please;10;repeat 
address;3;request 
postal code;3;request 
post code;3;request 
thank;4;thankyou 
again;10;repeat 
repeat;10;repeat 
re;5;null 
address;3;request 
repeat;10;repeat 
address;3;request 
address;3;request 
fen ditton;5;null 
post code;3;request 
thank;4;thankyou 
address;3;request 
address;3;request 
post code;3;request 
thank you good bye;4;thankyou 
thank you good bye;4;thankyou 
im looking for a restaurant in the north part of town that serves;0;inform 
greek;0;inform 
how about indians;7;reqalts 
could i have the address phone number and;3;request 
whats the price range again;3;request 
thank you good bye;4;thankyou 
looking for a moderately priced restaurant in the east part of town;0;inform 
i dont care;0;inform 
whats the address;3;request 
and the phone number;3;request 
what type of food does it serve;3;request 
thank you;4;thankyou 
im looking for a cheap restaurant in the north part of town;0;inform 
any;0;inform 
kind i have the address;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant;0;inform 
the south part of town;0;inform 
what food is available in the south part of town;3;request 
what is there anything else;7;reqalts 
is there anything else;7;reqalts 
okay may i get the address;3;request 
thank you good bye;4;thankyou 
um im trying to find a restaurant in the unintelligible of town;0;inform 
greek food;0;inform 
uh indian;0;inform 
doesnt matter;0;inform 
uh whats the address and the phone number;3;request 
thank you good bye;4;thankyou 
african food;0;inform 
any area;0;inform 
african food;0;inform 
what is the address;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant in the;0;inform 
north;0;inform 
i dont care;0;inform 
whats the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant that serves corsica food;0;inform 
what about vietnamese;0;inform 
vietnamese food;0;inform 
address;3;request 
hi;9;hello 
thank you good bye;4;thankyou 
i want a cheap restaurant in the east part of town;0;inform 
whats the address and phone number;3;request 
thank you good bye;4;thankyou 
moderate price;0;inform 
east;0;inform 
i dont care;0;inform 
may i have the address;3;request 
thank you good bye;4;thankyou 
um i want a restaurant in the north side of town and i want to eat christmas food;0;inform 
how about indian food;7;reqalts 
north;0;inform 
i dont care;0;inform 
whats the price range;3;request 
how about the address;3;request 
whats their phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the south part of town that serves;0;inform 
austrian;0;inform 
austrian;0;inform 
yes;2;affirm 
is there a restaurant in the south part of town that serves indian food;7;reqalts 
indian food;0;inform 
could i get their phone number;3;request 
thank you good bye;4;thankyou 
cheap restaurant east of town;0;inform 
whats the address;3;request 
whats the phone number;3;request 
what type of food;3;request 
thank you good bye;4;thankyou 
id like a restaurant in;0;inform 
in the center;0;inform 
cross over food;0;inform 
how about portuguese;7;reqalts 
anything else;7;reqalts 
what is the price range;3;request 
do you have the address;3;request 
and the phone number;3;request 
thank you good bye;4;thankyou 
im looking for unintelligible food;0;inform 
in the east part of town;0;inform 
unintelligible;5;null 
unintelligible;5;null 
how about indian;7;reqalts 
can i have the address and phone number;3;request 
thank you good bye;4;thankyou 
im looking for a cheap restaurant;0;inform 
it doesnt matter;0;inform 
australian food;0;inform 
what about european food;7;reqalts 
what european food;0;inform 
is it european;1;confirm 
does it serve european type food;1;confirm 
whats the address;3;request 
whats the address;3;request 
and whats the phone number;3;request 
thank you good bye;4;thankyou 
unintelligible;5;null 
moderately priced restaurants;0;inform 
dont care;0;inform 
what type of food do they serve;3;request 
what is the address;3;request 
thank you good bye;4;thankyou 
cheap restaurant north part of town;0;inform 
any;0;inform 
address phone number;3;request 
is there anything else;7;reqalts 
address and phone number;3;request 
type of food;3;request 
thank you good bye;4;thankyou 
moderately priced restaurant japanese food;0;inform 
chinese food;0;inform 
breath i dont care;0;inform 
what is the phone number;3;request 
thank you goodbye;4;thankyou 
moderately;0;inform 
west;0;inform 
west;0;inform 
west part of town;0;inform 
doesnt matter;0;inform 
what is the;5;null 
what is the address;3;request 
what is the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant in the south part of town;0;inform 
i dont care;0;inform 
what is the address;3;request 
thank you good bye;4;thankyou 
im looking for a moderately priced restaurant;0;inform 
in the south part of the town;0;inform 
i dont care;0;inform 
is there anything else;7;reqalts 
is there anything else;7;reqalts 
uh can i have the address;3;request 
and phone number;3;request 
and whats the address;3;request 
thank you good bye;4;thankyou 
expensive;0;inform 
south;0;inform 
doesnt matter;0;inform 
yes i want the phone number;2;affirm 
phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the west part of town that serves;0;inform 
international;0;inform 
how about the center area;7;reqalts 
can you give me the phone number;3;request 
and whats the price range;3;request 
thank you good bye;4;thankyou 
unintelligible;5;null 
im looking for a restaurant in the west part of town and it sh;0;inform 
thai food;0;inform 
uh whats the address;3;request 
and the phone number;3;request 
and the post code;3;request 
thank you;4;thankyou 
good bye;6;bye 
im looking for an expensive restaurant in the east;0;inform 
it doesnt matter;0;inform 
yes;2;affirm 
anything else;7;reqalts 
address;3;request 
phone number;3;request 
thank you goodbye;4;thankyou 
want to find a restaurant in the west part of town that serves german food;0;inform 
german food;0;inform 
how about british food;7;reqalts 
thank you good bye;4;thankyou 
id like a restaurant in the south part of town that serves cuban;0;inform 
cuban;0;inform 
how about portuguese;7;reqalts 
could i have the phone number;3;request 
what about the address;3;request 
thank you good bye;4;thankyou 
id like a cheap restaurant that serves steakhouse;0;inform 
it doesnt matter;0;inform 
steakhouse;0;inform 
yes;2;affirm 
does it serve steakhouse food;1;confirm 
i would like steakhouse food;0;inform 
how about vietnamese food;7;reqalts 
i would like vietnamese food;0;inform 
what is the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a cheap;0;inform 
um in north;0;inform 
north part of town;0;inform 
may i have the address phone number and post code;3;request 
may i have the post code please;3;request 
thank you good bye;4;thankyou 
i want to find a moderately;0;inform 
i dont care;0;inform 
what is the address;3;request 
what is the address;3;request 
thank you good bye;4;thankyou 
moderate restaurant catalan food;0;inform 
spanish food;0;inform 
address;3;request 
phone number;3;request 
post code;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the west part of town that serves italian food;0;inform 
west;0;inform 
no;8;negate 
i dont care;0;inform 
may i have the phone number and address;3;request 
thank you good bye;4;thankyou 
im looking for gastropub food;0;inform 
any area;0;inform 
gastropub;0;inform 
any;0;inform 
what are the address and post code;3;request 
post code;3;request 
thank you good bye;4;thankyou 
im looking for a cheap spanish restaurant;0;inform 
the adra;5;null 
whats the phone number;3;request 
the postcode;3;request 
thank you goodbye;4;thankyou 
okay looking for a cheap restaurant serving caribbean food;0;inform 
does it serve caribbean food;1;confirm 
how about caribbean food;7;reqalts 
what about indian food;7;reqalts 
what is the address;3;request 
thank you good bye;4;thankyou 
im looking for mediterranean food;0;inform 
i dont care;0;inform 
